,zip_code,311byzip,FWbyzip
112,10473.0,1461,38.0
113,10474.0,597,6.0
114,10475.0,440,6.0
115,11001.0,63,
116,11004.0,217,
117,11005.0,10,
118,11040.0,41,
119,11101.0,1619,27.0
120,11102.0,882,51.0
121,11103.0,1034,5.0
122,11104.0,557,12.0
123,11105.0,1216,24.0
124,11106.0,954,18.0
125,11109.0,198,16.0
126,11201.0,1684,9.0
127,11203.0,2369,195.0
128,11204.0,1288,18.0
129,11205.0,1346,27.0
130,11206.0,2275,63.0
131,11207.0,3212,58.0
132,11208.0,3773,119.0
133,11209.0,1718,35.0
134,11210.0,1682,41.0
135,11211.0,2724,36.0
136,11212.0,2179,124.0
137,11213.0,2282,104.0
138,11214.0,1513,29.0
139,11215.0,1914,14.0
140,11216.0,2421,83.0
141,11217.0,1285,29.0
142,11218.0,1632,40.0
143,11219.0,1237,11.0
144,11220.0,2000,53.0
145,11221.0,3043,69.0
146,11222.0,1577,48.0
147,11223.0,1470,54.0
148,11224.0,1039,36.0
149,11225.0,2139,73.0
150,11226.0,4289,454.0
151,11228.0,783,14.0
152,11229.0,1686,31.0
153,11230.0,1582,12.0
154,11231.0,981,9.0
155,11232.0,919,16.0
156,11233.0,2603,93.0
157,11234.0,2099,39.0
158,11235.0,1706,16.0
159,11236.0,2115,121.0
160,11237.0,1909,76.0
161,11238.0,2401,69.0
162,11239.0,215,2.0
163,11242.0,1,
164,11249.0,1177,81.0
165,11251.0,2,
166,11354.0,850,20.0
167,11355.0,1158,4.0
168,11356.0,1166,7.0
169,11357.0,1111,35.0
170,11358.0,676,11.0
171,11359.0,10,1.0
172,11360.0,212,6.0
173,11361.0,511,11.0
174,11362.0,281,
175,11363.0,159,
176,11364.0,541,36.0
177,11365.0,900,25.0
178,11366.0,1627,8.0
179,11367.0,575,6.0
180,11368.0,2582,41.0
181,11369.0,827,11.0
182,11370.0,560,36.0
183,11371.0,1,
184,11372.0,1283,22.0
185,11373.0,1672,12.0
186,11374.0,928,6.0
187,11375.0,1063,8.0
188,11377.0,2243,44.0
189,11378.0,1321,19.0
190,11379.0,1240,58.0
191,11385.0,3508,69.0
192,11411.0,491,10.0
193,11412.0,1010,63.0
194,11413.0,934,22.0
195,11414.0,654,34.0
196,11415.0,445,15.0
197,11416.0,984,15.0
198,11417.0,1179,13.0
199,11418.0,1169,25.0
200,11419.0,1810,25.0
201,11420.0,1913,30.0
202,11421.0,1562,38.0
203,11422.0,686,3.0
204,11423.0,654,17.0
205,11426.0,306,6.0
206,11427.0,346,19.0
207,11428.0,448,17.0
208,11429.0,610,25.0
209,11430.0,105,
210,11432.0,1363,64.0
211,11433.0,1318,28.0
212,11434.0,1501,30.0
213,11435.0,1595,67.0
214,11436.0,677,21.0
215,11691.0,1171,25.0
216,11692.0,457,11.0
217,11693.0,502,8.0
218,11694.0,885,30.0
219,11695.0,2,
220,11697.0,16,
221,12345.0,19,2.0
